Date,Country,City,Killed,Injured,Description
2015-01-01,Iraq,Yathrib,7,0.0,Seven Iraqis are killed in a house by caliphate members.
2015-01-01,Pakistan,Karachi,1,0.0,A Shiite doctor is assassinated outside his clinic by Sunni radicals.
2015-01-01,Afghanistan,Jalalabad,1,2.0,Sunni hardliners murder a border guard.
2015-01-01,Iraq,Fallujah,15,0.0,Fifteen tribesmen are executed by the Islamic State.
2015-01-01,Iraq,Baqubah,3,0.0,Mujahideen murder three people in their own home.
2015-01-01,Cameroon,Maroua,15,10.0,"Islamists pour machine-gun fire into a bus, killing fifteen passengers."
2015-01-01,Iraq,Basra,3,2.0,Three Sunni preachers are shot to death by sectarian Jihadis.
2015-01-01,Iraq,Samarrah,2,5.0,Two worshippers bleed to death when Sunnis mortar a Shiite shrine.
2015-01-01,Nigeria,Gombe,0,8.0,A suicide bomber detonates at the entrance of a church service.
2015-01-01,Syria,Aleppo,13,18.0,"Terrorists fire rockets into a neighborhood, killing over a dozen."
2015-01-01,Afghanistan,Kapisa,1,3.0,One person is killed when Jihadis bomb a car.
2015-01-02,Libya,Sabha,14,0.0,Fourteen local soldiers are captured and executed by Islamic State supporters.
2015-01-02,Somalia,Galkayo,1,5.0,Teachers are among the casualties of a deadly car bomb attack outside a school.
2015-01-02,Afghanistan,Lashkargah,4,0.0,Four bank employees are killed by a planted bomb.
2015-01-02,Somalia,Baidoa,7,3.0,A surprise attack by al-Shabaab leaves seven local soldiers dead.
2015-01-02,Iraq,Tuz,3,0.0,Three civilians are kidnapped and executed by the Islamic State.
2015-01-02,Iraq,Baghdad,23,0.0,Sectarian Jihadis execute two dozen people and throw their bodies into a river.
2015-01-02,Thailand,Narathiwat,1,0.0,A security guard at a school is picked off by Muslim gunmen.
2015-01-02,Nigeria,Ambe-Madaki,15,40.0,Fifteen villagers are massacred when Muslim terrorists attack a Christian village.
2015-01-02,Libya,Sukna,17,0.0,Jihadists slit the throats of fourteen soldiers and three civilians.
2015-01-03,Mali,Gao,2,0.0,A man and son are ambushed and killed by Islamic extremists.
2015-01-03,Iraq,Shirquat,7,0.0,A child and two women are among seven civilians disassembled by Religion of Peace bombers.
2015-01-03,Philippines,Sumilalao,1,3.0,"Bangsamoro Islamists attack a group of soldiers, killing one member."
2015-01-03,Iraq,Anbar,1,0.0,A local journalist is arrested and executed by the Islamic State for 'being an infidel'.
2015-01-03,Nigeria,Baga,1,0.0,A woman in labor is killed by Boko Haram.
2015-01-03,Iraq,Garma,15,0.0,Fifteen Iraqis are lined up and shot in the back of the head by caliphate members.
2015-01-04,Tunisia,Zaghouan,1,0.0,Religious extremists slit the throat of an off-duty policeman.
2015-01-04,Afghanistan,Ghazni,2,0.0,A female doctor and her husband are murdered by fundamentalists.
2015-01-04,Yemen,Ansarullah,4,25.0,A journalist is among four people blown to bits by an al-Qaeda bomb.
2015-01-04,Somalia,Mogadishu,4,1.0,Four civilians are reduced to pulp by a Fedayeen suicide bomber.
2015-01-04,Iraq,Fallujah,4,5.0,Four are killed when ISIS sends shells into a town.
2015-01-04,Nigeria,Lugda,1,4.0,One person dies from injuries suffered from a Boko Haram bombing.
2015-01-04,Somalia,Baladweyne,1,0.0,A teenager is beheaded by al-Shabaab.
2015-01-04,Nigeria,Kantoma,2,10.0,Two people preparing for church are shot to death by Fulani terrorists.
2015-01-05,Mali,Nampala,7,0.0,An al-Qaeda-backed attack on a small border town leaves seven dead.
2015-01-05,Iraq,Salaheddin,8,0.0,Eight Iraqis are lined up and shot in the head by the Islamic State.
2015-01-05,Afghanistan,Zabul,3,11.0,A Taliban suicide bomber takes out three civilians.
2015-01-05,Saudi Arabia,Arar,3,3.0,A suicide blast leaves three border guards dead.
2015-01-05,Pakistan,Kalya,5,11.0,"Terrorists bomb a playground, claiming five lives."
2015-01-05,Afghanistan,Zabul,2,9.0,Two civilians at a market are sent to Allah by Taliban bombers.
2015-01-05,Afghanistan,Kabul,1,5.0,Six civilians are affected by a Shahid suicide bomber.
2015-01-05,Nigeria,Baga,31,0.0,At least ten women are among over thirty killed during an assault on a village by Boko Haram.
2015-01-06,Iraq,Haditha,7,13.0,Seven Iraqis are taken out by a Shahid suicide bomber.
2015-01-06,Turkey,Sultanahmet,1,1.0,Police blame al-Qaeda after a pregnant Russian woman sets off a suicide blast at a station.
2015-01-06,Dagestan,Khasavyurt,2,2.0,Suspected extremists ambush and kill two local cops.
2015-01-06,Egypt,Cairo,1,3.0,An Ajnad Misr bomb hidden in a flower pot kills a policeman trying to defuse it.
2015-01-06,Pakistan,Landhi,2,0.0,Two security personnel are slain by Islamist militants.
2015-01-06,Iraq,Mosul,2,0.0,Radical Muslims murder a bride and groom for putting wedding decorations on their car.
2015-01-06,Pakistan,Nazimabad,2,0.0,Two Shiite brothers are murdered in their shop by Sipah-e-Sahaba.
2015-01-06,Syria,Deir al-Zor,1,0.0,A man is beheaded - allegedly for smoking.
2015-01-06,Afghanistan,Shekhzo,3,2.0,Three family members are modularized when fundamentalists fire a rocket into their home.
2015-01-06,Egypt,Cairo,2,0.0,Two men guarding a church are shot to death by extremists.
2015-01-06,Iraq,al-Jubba,23,21.0,A suicide attack on a mosque and the ensuing clash leave two dozen dead.
2015-01-06,Iraq,Mosul,23,0.0,Three female lawyers and twenty young men are executed in cold blood by caliphate members.
2015-01-07,Pakistan,Karachi,2,0.0,A Shiite and his friend are shot to death on a bridge by Sipah-e-Sahaba
2015-01-07,Afghanistan,Nawzad,1,0.0,A local cop dies trying to stop a suicide bomber.
2015-01-07,Afghanistan,Zhari,2,11.0,Taliban bombers take out two children gathering firewood.
2015-01-07,France,Paris,12,10.0,A dozen people are slaughtered by gunmen 'avenging' the prophet at a newspaper office which printed satirical cartoons critical of Islam.
2015-01-07,Afghanistan,Baghlan,0,3.0,Three suicide bombers attack an academy.
2015-01-07,Syria,Raqqa,1,0.0,A magician is beheaded by the Islamic State on the grounds that illusions are an insult to Allah.
2015-01-07,Yemen,Sanaa,37,67.0,A al-Qaeda suicide bus bomber scatters body parts and snuffs out thirty-seven lives at a college.
2015-01-07,Iraq,Mosul,320,0.0,"Five mass graves are discovered containing the bodies of three-hundred ISIS victims, including minority women and children."
2015-01-07,Afghanistan,Baghlan,6,3.0,Six road workers are machine-gunned point-blank by Religion of Peace gunmen.
2015-01-07,Iraq,Baghdad,4,11.0,"Jihadis set off two bombs near a restaurant, killing four."
2015-01-07,Iraq,Ghazlani,5,0.0,Five Iraqis are abducted from their homes and shot in the back of the head by the Islamic State.
2015-01-07,Iraq,Mosul,4,3.0,A Fedayeen suicide bomber claims the lives of four others.
2015-01-07,Pakistan,Qila Saifullah,1,0.0,"Tehreek-e-Taliban kidnap, execute a man and then toss his body by the side of the road."
2015-01-07,Pakistan,Kamra,1,0.0,A mentally-challenged man is accused of blasphemy and quickly shot to death in his home.
2015-01-07,Nigeria,Baga,2000,500.0,More than 2000 villagers are feared dead following a massive killing spree by Boko Haram that spanned 16 villages.
2015-01-07,Nigeria,Askira,26,0.0,Over two dozen residents of a small village are slaughtered by Boko Haram.
2015-01-07,Afghanistan,Jalalabad,1,2.0,A Jihadi bomb blast kills a judge and injures his two daughters.
2015-01-08,Iraq,Fallujah,17,0.0,Seventeen Iraqis are rounded up and shot in the back of the head by the Islamic State.
2015-01-08,Iraq,Yusufiyah,7,21.0,A Shahid suicide bomber sends seven other souls to Allah.
2015-01-08,Pakistan,Nazimambad,2,0.0,Two policemen are shot to death by suspected Sunni extremists.
2015-01-08,Iraq,Baghdad,8,16.0,A Sunni suicide bomber wades into a Shiite mosque and slaughters at least eight worshippers.
2015-01-08,Libya,Barqa,2,0.0,"The Islamic State applies the ""law of Allah"" to two Tunisian journalists."
2015-01-08,Syria,Abu Khuyut,1,0.0,"An imam is beheaded by the caliphate for ""insulting Allah"" by denouncing beheadings."
2015-01-08,France,Montrouge,1,1.0,A policewoman investigating a traffic accident is ambushed and killed by a Muslim extremist.
2015-01-08,Iraq,Samarrah,8,23.0,Eight Iraqis are disassembled by a Fedayeen suicide bomber.
2015-01-09,Pakistan,Orakzai,1,5.0,One person is killed when militants fire a rocket at a rival mosque.
2015-01-09,Pakistan,Rawalpindi,8,20.0,Eight worshippers are blown to bits by a suicide bomber at a Shia mosque.
2015-01-09,France,Paris,4,5.0,Four hostages are taken and killed by an Islamic gunman at a Jewish grocery.
2015-01-09,Iraq,Muqdadiya,1,0.0,A woman is murdered by ISIS.
2015-01-09,Pakistan,Orakzai,4,2.0,Jihadis set off a roadside bomb that kills four members of a security patrol.
2015-01-09,Iraq,Jazira,4,8.0,A Fedayeen suicide bomber murders four police at a checkpoint after pretending to need medical help.
2015-01-09,Iraq,Fallujah,8,0.0,Eight Iraqis are publicly executed by the Islamic State.
2015-01-10,Nigeria,Maiduguri,20,18.0,"Islamists strap a suicide vest to a 10-year-old girl and send her into crowded market, killing over twenty."
2015-01-10,Iraq,Baghdad,5,11.0,Five people at a wholesale market are reduced to parts by Jihadi bombers.
2015-01-10,Pakistan,Baldia,1,0.0,A Sunni leader is shot to death by sectarian rivals.
2015-01-10,Egypt,Sheikh Zuweid,2,0.0,Two people are beheaded by Islamic extremists.
2015-01-10,Lebanon,Tripoli,8,36.0,Two caliphate suicide bombers at a Shiite cafe blows eight patrons to bits.
2015-01-10,Bangladesh,Chittagong,1,0.0,A Hindu nurse is hacked to death on her way to work by suspected Jammat Islamists.
2015-01-10,Iraq,Gwer,26,0.0,"Over two dozen people are killed by a sustained IS attack on a town, including a father shot in front of his family."
2015-01-10,Iraq,Madian,3,9.0,Three people in a commercial district are vaporized by Islamic bombers.
2015-01-10,Pakistan,Hayatabad,1,0.0,An older doctor is shot multiple times at his clinic for being a Shiite.
2015-01-10,Nigeria,Potiskum,1,2.0,A suicide bomber kills a guard.
2015-01-10,Yemen,Sanaa,2,0.0,al-Qaeda gunmen assassinate two Shiites.
2015-01-10,Pakistan,Islamabad,1,0.0,A captive is beheaded on video by local ISIS.
2015-01-11,Kenya,Mombasa,1,0.0,Terrorists kill a priest during a church service.
2015-01-11,Iraq,Dour,40,0.0,Forty Iraqis policemen are summarily executed for refusing allegiance to the caliph.
2015-01-11,Pakistan,Karachi,2,0.0,"Two Shiites, one a doctor, are gunned down in separate attacks."
2015-01-11,Nigeria,Potiskum,6,46.0,Six others are killed when two female suicide bombers detonate in succession at a popular market.
